name,pIC50
CAT-4o_ref,6.9022251504790635
CAT-13e_ref,7.329015191766681
CAT-17b_ref,7.373165885692986
CAT-13k_ref,7.137695518086024
CAT-4m_ref,6.732980823761559
CAT-4b_ref,7.0861863751720024
CAT-4p_ref,7.417316579619291
CAT-17f_ref,6.931658946429933
CAT-4l_ref,6.872791354528193
CAT-13g_ref,6.688830129835253
CAT-17e_ref,7.373165885692986
CAT-13b_ref,6.7109054767984055
CAT-4a_ref,5.8352500472600175
CAT-4k_ref,5.776382455358277
CAT-13a_ref,6.504868905142315
CAT-17d_ref,6.931658946429933
CAT-13i_ref,6.82128221161417
CAT-17c_ref,7.255430701889505
CAT-24_ref,8.35183960105942
CAT-13m_ref,6.446001313240575
CAT-4i_ref,6.078078863854697
CAT-4j_ref,6.63732098692123
CAT-13f_ref,6.688830129835253
CAT-13n_ref,6.284115435510788
CAT-13h_ref,7.0861863751720024
CAT-13d_ref,7.704296090140276
CAT-4d_ref,6.703547027810688
CAT-17i_ref,6.968451191368521
CAT-17a_ref,7.895615763820932
CAT-17g_ref,7.167129314036895
CAT-4c_ref,5.776382455358277
CAT-17h_ref,7.60127780431223
CAT-13j_ref,6.423925966277422
CAT-13c_ref,6.858074456552758
CAT-13o_ref,6.284115435510788
CAT-4n_ref,6.688830129835253
