name,SMILES,pIC50
lig_2,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(N(C)C=C4)=N)C=C3C5=C(OC)C=C(F)C=C5,10.481486060122112
lig_3,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(N(C)C=C4)=N)C=C3C5=C(O)C=C(F)C=C5,10.455931955649724
lig_4,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(N(C)C=C4)=N)C=C3C5=C(C)N=CC=C5,10.443697499232712
lig_5,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(N(C)C=C4)=N)C=C3C5=C(OC)N=CC=C5,10.259637310505756
lig_6,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(N(C)C=C4)=N)C=C3C5=C(C)N=CC(C)=C5,10.657577319177793
lig_8,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(N(C)C=C4)=N)C=C3C5=C(C)C=NC=C5,10.537602002101044
lig_10,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(N(C)C=C4)=N)C=C3C5=CON=C5C,10.337242168318426
lig_11,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(N(C)C=C4)=N)C=C3C5=CN(C)N=C5C,10.638272163982407
lig_12,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(N(C)C=C4)=N)C=C3C5=C(C)N(C)N=C5C,9.686132779630846
lig_13,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(N(C)C=C4)=N)C=C3C5=CC(C)=NN5C,10.602059991327963
lig_19,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C=NN=C4)C=C3C5=CN(C)N=C5C(F)(F)F,8.187086643357144
lig_21,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(CC)=NC=C4)C=C3C5=CN(C)N=C5C(F)(F)F,10.657577319177793
lig_22,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(C(C)C)=NC=C4)C=C3C5=CN(C)N=C5C(F)(F)F,8.468521082957745
lig_23,O=C1N(CC2=CC(OC)=CC(OC)=C2)CCC3=C1C=C(CN4C(C5CC5)=NC=C4)C=C3C6=CN(C)N=C6C(F)(F)F,10.55284196865778
lig_25,O=C1N(CC2=CC=CC=N2)CCC3=C1C=C(CN4C(C)=NC=C4)C=C3C5=CN(C)N=C5C(F)(F)F,9.638272163982407
lig_26,O=C1N(CC2=CC=CC(C)=N2)CCC3=C1C=C(CN4C(C)=NC=C4)C=C3C5=CN(C)N=C5C(F)(F)F,10.4089353929735
lig_27,O=C1N(CC2=CC(C)=CC=N2)CCC3=C1C=C(CN4C(C)=NC=C4)C=C3C5=CN(C)N=C5C(F)(F)F,10.698970004336019
lig_28,O=C1N(CC2=C(C)C=CC=N2)CCC3=C1C=C(CN4C(C)=NC=C4)C=C3C5=CN(C)N=C5C(F)(F)F,9.229147988357855
lig_29,O=C1N(CC2=CC(C)=NC=C2)CCC3=C1C=C(CN4C(C)=NC=C4)C=C3C5=CN(C)N=C5C(F)(F)F,10.193820026016112
lig_35,O=C1N([C@H](C)C2=CC(OC)=CC=N2)CCC3=C1C=C(CN4C(C)=NC=C4)C=C3C5=CN(CC)N=C5C(F)(F)F,10.537602002101044
lig_39,O=C1N([C@H](C)C2=CC(OC)=CC=N2)CCC3=C1C=C(CN4C=NC=C4)C=C3C5=CN(CC)N=C5C(F)(F)F,10.55284196865778
